,Synset,Hypernym
317,соплеменник.n.1,человек.n.1
318,ежиха.n.1,самка.n.1
319,ежиха.n.1,еж.n.1
320,ежонок.n.1,детеныш животного.n.1
321,ежонок.n.1,еж.n.1
322,единокровный.n.1,неполнородное родство.n.1
323,единокровный.n.1,близкое родство.n.1
324,дошкольное учреждение.n.1,детское учреждение.n.1
325,дошкольное учреждение.n.1,социально-культурное учреждение.n.1
326,сводное родство.n.1,родство через брак.n.1
327,жалобщик.n.1,человек по роли.n.1
328,жанровая живопись.n.1,живопись.n.1
329,желатин.n.1,органическое вещество.n.1
330,горная дорога.n.1,дорога.n.2
331,пивоваренная компания.n.1,компания.n.2
332,топменеджер.n.1,руководитель.n.1
333,топменеджер.n.1,менеджер.n.1
334,железка.n.1,кусок.n.1
335,железка.n.1,металлическое изделие.n.1
336,ценность.n.1,роль.n.1
337,сокровище.n.1,ценность.n.1
338,наследие прошлого.n.1,постоянная сущность.n.1
339,достояние.n.1,наследие прошлого.n.1
340,достояние.n.1,духовные ценности.n.1
341,жемчужина.n.1,зерно.n.1
342,жемчужина.n.1,жемчуг.n.1
343,живучий.n.1,стойкость к воздействию.n.1
344,животворный.n.1,благотворный.n.1
345,жизнеспособный.n.1,состояние организма.n.1
346,жила горной породы.n.1,горная порода.n.1
347,жилец дома.n.1,житель.n.1
348,жилистый.n.1,худой.n.1
349,жилистый.n.1,мускулистый.n.1
350,жупел.n.1,причина явления.n.1
351,огородное чучело.n.1,приспособление.n.1
352,огородное чучело.n.1,чучело.n.1
353,засориться.n.1,пачкаться.n.1
354,забросать поверхность.n.1,покрыть поверхность.n.1
355,забросать поверхность.n.1,осыпать.n.1
356,завесить.n.1,покрыть поверхность.n.1
357,завесить.n.1,закрыть отверстие.n.1
358,завесить.n.1,вешать.n.1
359,заварить кипятком.n.1,залить жидким.n.1
360,заведомый.n.1,очевидный.n.1
361,заведомый.n.1,статус.n.1
362,писатель-фантаст.n.1,писатель.n.1
363,гражданин.n.1,человек.n.1
364,завести механизм.n.1,запустить.n.2
365,подсохнуть.n.1,сохнуть.n.1
366,администрация завода.n.1,администрация предприятия.n.1
367,завысить.n.1,повысить.n.1
368,завысить.n.1,переборщить.n.1
369,загиб.n.1,крайность.n.1
370,загадать загадку.n.1,задать.n.1
371,завоеватель.n.1,захватчик.n.1
372,завязывание плодов.n.1,физиологический процесс растения.n.1
373,опыление растений.n.1,перенести на другое место.n.1
374,загон для скота.n.1,место в пространстве.n.1
375,гноиться.n.1,выделить из организма.n.1
376,задатки способностей.n.1,росток.n.1
377,задача.n.1,упражнение.n.1
378,упражнение.n.1,задание.n.1
379,ввести в действие.n.1,использовать.n.1
380,ввести в действие.n.1,начать.n.1
381,задел на будущее.n.1,запас.n.1
382,занести.n.1,забросить.n.2
383,задувка доменной печи.n.1,запустить.n.2
384,задувка доменной печи.n.1,зажечь огонь.n.1
385,заезд соревнования.n.1,тур соревнований.n.1
386,заезд соревнования.n.1,спортивное соревнование.n.1
387,заезд отдыхающих.n.1,приехать.n.1
388,заезд отдыхающих.n.1,вселиться.n.1
389,заедание механизма.n.1,заклинивание устройства.n.1
390,заземление прибора.n.1,соединить в одно целое.n.1
391,прозелитизм.n.1,миссионерская деятельность.n.1
392,трикотажная фуфайка.n.1,рубашка.n.1
393,трикотажная фуфайка.n.1,бельевой трикотаж.n.1
394,информационная война.n.1,бороться.n.1
395,информационная война.n.1,конфликт.n.1
396,кайзер.n.1,император.n.1
397,налоговый должник.n.1,неплательщик.n.1
398,запущенная форма заболевания.n.1,стадия болезни.n.1
399,запущенная форма заболевания.n.1,болезнь.n.1
400,заболевание.n.1,инфекционная болезнь.n.1
401,болезни мочеполовой системы.n.1,болезнь.n.1
402,наркологическое расстройство.n.1,зависимость.n.3
403,наркологическое расстройство.n.1,психическое заболевание.n.1
404,наркологическое расстройство.n.1,социально-опасное заболевание.n.1
405,фельдшер-лаборант.n.1,лаборант медицинского учреждения.n.1
406,фосфорит.n.1,фосфат.n.1
407,фосфорит.n.1,полезные ископаемые.n.1
408,фосфорит.n.1,сырье для удобрений.n.1
409,минерально-сырьевая продукция.n.1,сырье.n.1
410,минерально-сырьевая продукция.n.1,промышленная продукция.n.1
411,продукция спортивного назначения.n.1,промышленная продукция.n.1
412,продукция спортивного назначения.n.1,изделие легкой промышленности.n.1
413,неметаллы.n.1,химический элемент.n.1
414,резиновая обувь.n.1,обувь.n.1
415,резиновые сапоги.n.1,резиновая обувь.n.1
416,резиновые сапоги.n.1,сапоги.n.1
417,котельно-печное топливо.n.1,топливо.n.1
418,этан.n.1,природный газ.n.1
419,этан.n.1,газообразное вещество.n.1
420,этан.n.1,углеводород.n.1
421,коксующийся уголь.n.1,каменный уголь.n.1
422,кислородно-конвертерная сталь.n.1,сталь.n.1
423,электросталь.n.1,сталь.n.1
424,нержавеющая сталь.n.1,сталь.n.1
425,продукция черной металлургии.n.1,металлургическая продукция.n.1
426,полипропилен.n.1,синтетические полимеры.n.1
427,термопласт.n.1,полимерное соединение.n.1
428,термопласт.n.1,пластмасса.n.1
429,стеклопластик.n.1,пластмасса.n.1
430,синтетические моющие средства.n.1,моющее средство.n.1
431,пищевкусовая промышленность.n.1,пищевая промышленность.n.1
432,пищевые добавки.n.1,добавление.n.1
433,пищевые добавки.n.1,вещество.n.1
434,текстильная нить.n.1,нить.n.1
435,текстильная нить.n.1,текстильная продукция.n.1
436,паровой котел.n.1,парогенератор.n.1
437,паровой котел.n.1,паровое устройство.n.1
438,паровой котел.n.1,котельное оборудование.n.1
439,минитрактор.n.1,трактор.n.1
440,зерноуборочный комбайн.n.1,зерноуборочная техника.n.1
441,зерноуборочный комбайн.n.1,сельскохозяйственный комбайн.n.1
442,картофелеуборочный комбайн.n.1,сельскохозяйственный комбайн.n.1
443,микроволновая печь.n.1,высокочастотное устройство.n.1
444,микроволновая печь.n.1,кухонная техника.n.1
445,микроволновая печь.n.1,нагревательный прибор.n.1
446,электрокамин.n.1,электронагревательный прибор.n.1
447,электрокамин.n.1,обогреватель помещения.n.1
448,электрокамин.n.1,бытовые электроприборы.n.1
449,электрочайник.n.1,чайник.n.2
450,электрочайник.n.1,электронагревательный прибор.n.1
451,электрочайник.n.1,кухонная техника.n.1
452,электроутюг.n.1,утюг.n.1
453,электроутюг.n.1,электронагревательный прибор.n.1
454,электроутюг.n.1,бытовые электроприборы.n.1
455,кофеварка.n.1,кухонная техника.n.1
456,электромясорубка.n.1,кухонная техника.n.1
457,электромясорубка.n.1,мясорубка.n.1
458,электромиксер.n.1,смеситель.n.1
459,электромиксер.n.1,кухонная техника.n.1
460,древесноволокнистая плита.n.1,строительные материалы.n.1
461,древесноволокнистая плита.n.1,продукция деревообработки.n.1
462,мебельный гарнитур.n.1,комплект.n.1
463,мебельный гарнитур.n.1,гарнитур.n.1
464,мебельный гарнитур.n.1,мебель.n.1
465,зубная щетка.n.1,щетка для чистки.n.1
466,зубная щетка.n.1,предметы личной гигиены.n.1
467,кондитерская промышленность.n.1,пищевая промышленность.n.1
468,заикание.n.1,нарушение речи.n.1
469,заика.n.1,человек.n.1
470,задержка движения.n.1,остановка при движении.n.1
471,задержка движения.n.1,замедлить.n.1
472,замедлиться.n.1,измениться.n.1
473,замедлить.n.1,изменить.n.1
474,закалиться физически.n.1,улучшение.n.1
475,заковать в кандалы.n.1,надеть.n.1
476,заморозить.n.1,охладить.n.1
477,расковать от оков.n.1,освободить.n.2
478,расковать.n.1,освободить.n.2
479,законник.n.1,знаток.n.1
480,законник.n.1,юрист.n.1
481,законодатель вкуса.n.1,образец для подражания.n.1
482,законодатель вкуса.n.1,человек по роли.n.1
483,законодатель вкуса.n.1,человек.n.1
484,погрязнуть в неприятностях.n.1,находиться.n.1
485,погрязнуть в неприятностях.n.1,отдаться.n.1
486,окостенелый.n.1,отверделый.n.1
487,окостенелый.n.1,онемелый.n.1
488,онемелый.n.1,неподвижный.n.1
489,неподвижный.n.1,состояние.n.1
490,округлая форма.n.1,форма.n.1
491,закупка товаров.n.1,покупка.n.2
492,захватить.n.1,забрать.n.1
493,залечить.n.1,причинение вреда.n.1
494,залететь ненадолго.n.1,заехать ненадолго.n.1
495,рассказывать небылицы.n.1,рассказать.n.1
496,рассказывать небылицы.n.1,обмануть.n.1
497,заложить закладку.n.1,вложить внутрь.n.1
498,занести.n.2,поднять.n.1
499,занести.n.2,отвести в другое направление.n.1
500,недвижимое имущество.n.1,имущество.n.1
501,замахнуться.n.1,занести.n.2
502,замахнуться.n.1,размахнуться для удара.n.1
503,размахнуться для удара.n.1,взмахнуть.n.1
504,размахнуться для удара.n.1,отвести в другое направление.n.1
505,замахнуться.n.2,обладать свойством.n.1
506,замахнуться.n.2,решиться на действие.n.1
507,замахнуться.n.2,предпринять.n.1
508,занять должность.n.1,вступление в должность.n.1
509,занять должность.n.1,кадровые перемещения.n.1
510,заметать.n.1,зашить.n.1
511,заметать.n.1,метать.n.2
512,замолить грехи.n.1,молиться.n.1
513,занавес для сцены.n.1,полотнище ткани.n.1
514,занавес для сцены.n.1,декорация.n.1
515,занизить.n.1,понизить величину.n.1
516,занизить.n.1,переборщить.n.1
517,зануда.n.1,надоеда.n.1
518,надоеда.n.1,плохой человек.n.1
519,западня.n.1,ловушка.n.2
520,запасливый.n.1,предусмотрительный.n.1
521,запарить.n.1,покрыть поверхность.n.1
522,запарить.n.1,вымачивание.n.1
523,плавание с аквалангом.n.1,погрузиться в жидкость.n.1
524,плавание с аквалангом.n.1,подводное плавание.n.1
525,центральный нападающий.n.1,игрок нападения.n.1
526,крайний нападающий.n.1,игрок нападения.n.1
527,сулугуни.n.1,рассольный сыр.n.1
528,нижняя палата парламента.n.1,палата парламента.n.1
529,верхняя палата парламента.n.1,палата парламента.n.1
530,депутат гд рф третьего созыва.n.1,депутат государственной думы.n.1
531,запить.n.1,начать.n.1
532,запить съеденное.n.1,пить.n.1
533,заплатка.n.1,кусок.n.1
534,заплатка.n.1,нашивка на одежде.n.1
535,плесневелый.n.1,неприятный.n.1
536,плесневелый.n.1,низкокачественный.n.1
537,заправочное устройство.n.1,техническое устройство.n.1
538,засада.n.1,спрятать.n.1
539,засада.n.1,ловушка.n.1
540,засада.n.1,процесс.n.1
541,ловушка.n.1,препятствие.n.1
542,физическая зарядка.n.1,физические упражнения.n.1
543,физическая зарядка.n.1,гимнастика.n.1
544,финансовая пирамида.n.1,авантюра.n.1
545,финансовая пирамида.n.1,финансовое преступление.n.1
546,шахматный турнир.n.1,спортивное соревнование.n.1
547,шахматный матч.n.1,матч.n.1
548,заслушать публично.n.1,выслушать до конца.n.1
549,засов.n.1,задвижка.n.1
550,застелить.n.1,покрыть поверхность.n.1
551,застелить.n.1,стлать.n.1
552,застудить.n.1,вызвать.n.2
553,застудить.n.1,мерзнуть от холода.n.1
554,засудить.n.1,вынести судебное решение.n.1
555,засудить.n.1,обвинение в преступлении.n.1
556,засуживание в спорте.n.1,обмануть.n.1
557,засуживание в спорте.n.1,ошибиться.n.1
558,засуживание в спорте.n.1,исказить.n.1
559,засуживание в спорте.n.1,спортивное судейство.n.1
560,свободно конвертируемая валюта.n.1,денежная единица.n.1
561,затемнить.n.1,изменить.n.1
562,затемнить.n.1,покрыть поверхность.n.1
563,затишье.n.1,затихнуть.n.1
564,затишье.n.1,приостановиться.n.1
565,затоптать в давке.n.1,давить.n.3
566,затмение небесного тела.n.1,космическое явление.n.1
567,затмение небесного тела.n.1,затемнить.n.1
568,затаскать.n.1,высказать.n.1
569,затаскать.n.1,повторить.n.2
570,затрапезный.n.1,повседневный.n.1
571,затрапезный.n.1,поношенный.n.1
572,затрагивать вопрос.n.1,изложить.n.1
573,затрагивать вопрос.n.1,обратить внимание.n.1
574,заусенец на пальце.n.1,рана.n.1
575,заусенец на пальце.n.1,повреждение на коже.n.1
576,заусенец металла.n.1,выступ.n.1
577,затянуть по времени.n.1,приостановить.n.1
578,затянуть по времени.n.1,замедлить.n.1
579,затхлый запах.n.1,плохой запах.n.1
580,заехать.n.1,заехать ненадолго.n.1
581,цветение воды.n.1,зарасти растительностью.n.1
582,зачитать.n.1,трепать.n.1
583,ощущение пощипывания.n.1,ощущать.n.1
584,ощущение пощипывания.n.1,жжение.n.1
585,заявитель.n.1,податель документов.n.1
586,зверинец.n.1,помещение для животных.n.1
587,зверолов.n.1,ловец.n.1
588,зверолов.n.1,охотник.n.1
589,задержать.n.1,характеристика действий.n.1
590,зерносушилка.n.1,оборудование для переработки зерна.n.1
591,зимник.n.1,дорога.n.2
592,зимник.n.1,автомобильная дорога.n.1
593,злобствовать.n.1,злопыхательство.n.1
594,злобствовать.n.1,пребывать в состоянии.n.1
595,злопамятный.n.1,обидчивый.n.1
596,злопамятный.n.1,памятливость.n.1
597,памятливость.n.1,врожденная способность.n.1
598,захлестнуть внутрь.n.1,влиться внутрь.n.1
599,супермен.n.1,человек.n.1
600,сверхчеловек.n.1,воображаемое существо.n.1
601,сверхчеловек.n.1,человек.n.1
602,юннат.n.1,естествоиспытатель.n.1
603,естествоиспытатель.n.1,научный работник.n.1
604,естествоиспытатель.n.1,биолог.n.1
605,злословить.n.1,произнести.n.1
606,злословить.n.1,злопыхательство.n.1
607,злословить.n.1,распространение слухов.n.1
608,столп.n.1,авторитетный человек.n.1
609,известный человек.n.1,человек.n.1
610,знаменитость.n.1,известный человек.n.1
611,светило.n.1,авторитетный человек.n.1
612,светило.n.1,выдающийся человек.n.1
613,классик искусства.n.1,авторитетный человек.n.1
614,классик искусства.n.1,выдающийся человек.n.1
615,классик искусства.n.1,деятель искусства.n.1
616,корифей.n.1,основоположник.n.1
617,корифей.n.1,авторитетный человек.n.1
618,корифей.n.1,известный человек.n.1
619,знаменосец.n.1,человек по роли.n.1
620,знаменосец.n.1,человек.n.1
621,знаменщик.n.1,знаменосец.n.1
622,знаменщик.n.1,военнослужащий.n.1
623,марсианин.n.1,инопланетянин.n.1
624,гуманоид.n.1,инопланетянин.n.1
625,зомби.n.1,мифологический персонаж.n.1
626,зомби.n.1,нечистая сила.n.1
