parent,definition,children,translation,label
field mouse,any nocturnal Old World mouse of the genus Apodemus inhabiting woods and fields and gardens,European wood mouse,Европейская деревянная мышь,-1
pigmentation,coloration of living tissues by pigment,chromatism,хроматизм,-1
social worker,someone employed to provide social services (especially to the disadvantaged),almoner,almoner,-1
concreteness,the quality of being concrete (not abstract),literalness,буквальность,-1
fog,an atmosphere in which visibility is reduced because of a cloud of some substance,fug,fug,-1
radial asymmetry,the absence of symmetry about an axis,directivity,направленность,-1
play,a preset plan of action in team sports,"knock on,power play,razzle-dazzle","стучаться,силовая игра,razzle-dazzle",-1
dessert,-,whip,вип,-1
roofing material,-,tile,tile,-1
reader,a person who enjoys reading,bookworm,Библиофильство,-1
cleaning implement,-,swab,тампон,-1
petitioner,-,solicitor,юрист,-1
ledge,a projecting ridge on a mountain or submerged under water,berm,берма,-1
quad,(printing) a block of type without a raised letter; used for spacing between words or sentences,hair space,пространство для волос,-1
deviation,a variation that deviates from the standard or norm,discrepancy,несоответствия,-1
gable,the vertical triangular wall between the sloping ends of gable roof,bell gable,колокольня,-1
dissenter,-,nonconformist,Нонконформизм,-1
local anesthetic,-,procaine,NOVOKAIN,-1
ambassador,a diplomat of the highest rank; accredited as representative from one country to another,ambassadress,ambassadress,-1
repellent,a chemical substance that repels animals,insectifuge,insectifuge,-1
anthology,a collection of selected literary passages,"divan,florilegium,omnibus","диван,флорилегий,омнибус",-1
plant fiber,-,hemp,щенька,-1
hominoid,a primate of the superfamily Hominoidea,"Aegyptopithecus,Algeripithecus minutus,proconsul","Aegyptopithecus,Algeripithecus minutus,проконсул",-1
array,especially fine or decorative clothing,war paint,Warpaint,-1
Indian elephant,Asian elephant having smaller ears and tusks primarily in the male,white elephant,белый слон,-1
gallinaceous bird,-,megapode,мегапод,-1
unruliness,-,contrariness,контраргументность,-1
handsaw,-,pruning saw,пила для обрезки,-1
baked potato,potato that has been cooked by baking it in an oven,jacket potato,Картофель в мундире,-1
skeletal structure,-,girdle,Пояс,-1
cleaning,-,sterilization,стерилизация,-1
assertion,-,denial,отказ,-1
mural,a painting that is applied to a wall surface,fresco,Фреска,-1
capture,the act of forcibly dispossessing an owner of property,"apprehension,conquest","задержание,завоевание",-1
pardoner,a medieval cleric who raised money for the church by selling papal indulgences,absolver,absolver,-1
representation,a presentation to the mind in the form of an idea or image,"abstractionism,antitype,blur,instantiation,phantasmagoria,psychosexuality,schema,stereotype","абстракционизм,антитип,размытие,инстанциация,фантасмагория,психосексуальность,схема,стереотип",-1
carbohydrate,-,polysaccharide,GLIKANY,-1
upper,piece of leather or synthetic material that forms the part of a shoe or boot above the sole that encases the foot,toe box,Лёгкая обувь,-1
cosmetic,-,makeup,грим,-1
approval,acceptance as satisfactory,appro,Около,-1
chemical phenomenon,-,state of matter,Ð¢ÐµÐ¼Ð¿ÐµÑÐ°ÑÑÑÐ° Ð¿Ð»Ð°Ð²Ð»ÐµÐ½Ð¸Ñ:% 1,-1
Dravidian,a member of one of the aboriginal races of India (pushed south by Caucasians and now mixed with them),"Badaga,Kanarese,Gadaba,Gond,Kolam,Kota,Kui,Malto,Savara,Tamil,Telugu,Toda,Tulu","Бадага,Канарезе,Гадаба,Гонд,Колам,Кота,Куи,Мальто,Савара,Тамил,Телугу,Тода,Тулу",-1
trumpeter,large gregarious crane-like bird of the forests of South America having glossy black plumage and a loud prolonged cry; easily domesticated,Brazilian trumpeter,Бразильский трубач,-1
dissolution,the termination or disintegration of a relationship (between persons or nations),splitsville,сплитсвилл,-1
shading,graded markings that indicate light or shaded areas in a drawing or painting,hatch,люк,-1
restrainer,a person who directs and restrains,"nazi,subduer","нацист,покоритель",-1
avalanche,a slide of large masses of snow and ice and mud down a mountain,lahar,Лахар,-1
animal material,-,shell,фон,-1
husk,outer membranous covering of some fruits or seeds,cornhusk,cornhusk,-1
energy,forceful exertion,athleticism,атлетизм,-1
irony,incongruity between what might be expected and what actually occurs,Socratic irony,Сократовская ирония,-1
exocrine gland,-,vestibular gland,вестибулярная железа,-1
face,the part of an animal corresponding to the human face,muzzle,жерло,-1
"Indian monetary unit,Pakistani monetary unit",monetary unit in India,anna,anna,-1
benign tumor,-,myoma,MIOMA,-1
software,-,operating system,операционная система,-1
spider orchid,any of several European orchids of the genus Ophrys,early spider orchid,ранняя орхидея пауков,-1
dormer window,the window in a gabled extension built to accommodate a window,oxeye,бычий глаз,-1
white magic,magic used only for good purposes,theurgy,theurgy,-1
pubic hair,hair growing in the pubic area,minge,minge,-1
"pubic hair,female genitalia",hair growing in the pubic area,minge,minge,-1
tender,a boat for communication between ship and shore,gig,Кабриолет,-1
case,a person requiring professional services,"welfare case,client,referral","дело о социальном обеспечении,клиент,направление",-1
bean,any of various seeds or fruits that are beans or resemble beans,"algarroba,carob,broad bean","альгарроба,рожковое дерево,бобы",-1
antibody,-,monoclonal antibody,Моноклональное антитело,-1
mealybug,scalelike plant-eating insect coated with a powdery waxy secretion; destructive especially of fruit trees,"citrophilous mealybug,citrus mealybug,Comstock mealybug","цитрофильный мучнистый жук,цитрусовый мучнистый жук,мучнистый жук Комсток",-1
vinifera,common European grape cultivated in many varieties; chief source of Old World wine and table grapes,"Cabernet Sauvignon grape,Chardonnay,Chenin blanc,malvasia,Merlot,Muscadet,muscat,Riesling,Sauvignon blanc,Sauvignon grape,Verdicchio,Zinfandel","Виноград «каберне-совиньон»,«шардоне»,«шенен-блан», «мальвазия»,«мерло»,«мускат»,«рислинг»,«совиньон-блан»,«совиньон»,«вердиккио»,«зинфандель»",-1
representation,the act of representing; standing in for someone or some group and speaking with authority in their behalf,proportional representation,Пропорциональное представительство,-1
gentian,-,fringed gentian,бахрома gentian,-1
Moroccan monetary unit,monetary unit in Morocco,Moroccan dirham,Марокканский дирхам,-1
Norwegian monetary unit,monetary unit in Norway,Norwegian krone,Норвежская крона,-1
test,any standardized procedure for measuring sensitivity or memory or intelligence or aptitude or personality etc,sub-test,подтест,-1
spiritual leader,-,rabbi,Раввин,-1
exactness,the quality of being exact,"minuteness,preciseness,trueness","мелочность,точность,правдивость",-1
penalty,(games) a handicap or disadvantage that is imposed on a competitor (or a team) for an infraction of the rules of the game,game misconduct,игровой проступок,-1
person of color,-,Black,nigger,-1
game equipment,-,net,нетто,-1
perfidy,betrayal of a trust,insidiousness,коварство,-1
common knowledge,anything generally known to everyone,ancient history,ISTORIIA ANTICHNAIA,-1
flush,a sudden rapid flow (as of water),springtide,springtide,-1
commissioned officer,-,staff officer,Штабные офицеры,-1
noble metal,-,gold,золотой,-1
dental appliance,-,filling,заправка,-1
water plantain,marsh plant having clusters of small white or pinkish flowers and broad pointed or rounded leaves,"narrow-leaved water plantain,ribbon-leaved water plantain","подорожник водный узколистный,подорожник водный ленточнолистный",-1
Mayan,a member of an American Indian people of Yucatan and Belize and Guatemala who had a culture (which reached its peak between AD 300 and 900) characterized by outstanding architecture and pottery and astronomy,"Cakchiquel,Kekchi,Mam,Quiche,Yucatec","Какчикель,кекчи,мам,киче,юкатек",-1
conservative,-,rightist,правый,-1
echinoderm,-,sea urchin,MORSKIE EZHI,-1
convexity,the property possessed by a convex shape,roundedness,округлость,-1
cross-fertilization,fertilization by the union of male and female gametes from different individual of the same species,allogamy,Перекрёстное опыление,-1
dramatic composition,-,play,пьеса,-1
female genitalia,external female sex organs,"cunt,minge,vulva","пизда,минге,вульва",-1
"dehydration,freeze",the process of extracting moisture,freeze-drying,Лиофилизация,-1
yellow,-,orange yellow,orange-yellow,-1
dehydration,the process of extracting moisture,freeze-drying,Лиофилизация,-1
mythical monster,a monster renowned in folklore and myth,"amphisbaena,basilisk,Cerberus,Chimera,cockatrice,Geryon,gryphon,Harpy,Hydra,leviathan,werewolf,manticore,Minotaur,Nemean lion,roc,salamander,Sphinx,troll,Typhoeus,Typhon","амфисбена,василиск,цербер,химера,какатрис,герион,грифон,гарпия,гидра,левиафан,оборотень,мантикора,минотавр,немейский лев,рок,саламандра,сфинкс,тролль,тиф,тифон",-1
caterpillar,-,woolly bear,шерстистый медведь,-1
"utility,transportation company",a company that performs a public service; subject to government regulation,bus company,автобусная компания,-1
asexual reproduction,reproduction without the fusion of gametes,"blastogenesis,budding,fissiparity,pullulation,parthenogenesis","бластогенез,почкование,деления,пулуляция,партеногенез",-1
skunk,American musteline mammal typically ejecting an intensely malodorous fluid when startled; in some classifications put in a separate subfamily Mephitinae,"hog-nosed skunk,hooded skunk,spotted skunk,striped skunk","кабаносый скунс, скунс с капюшоном,пятнистый скунс,полосатый скунс",-1
vermouth,any of several white wines flavored with aromatic herbs; used as aperitifs or in mixed drinks,"dry vermouth,sweet vermouth","вермут сухой, вермут сладкий",-1
clothes moth,any of several small yellowish or buff-colored moths whose larvae eat organic matter e.g. woolens,"casemaking clothes moth,webbing clothes moth","платяная моль для изготовления кейсов, платяная моль для лямок",-1
shearing,removing by cutting off or clipping,sheepshearing,стрижка овец,-1
blasphemer,a person who speaks disrespectfully of sacred things,swearer,swarer,-1
merchant,-,retailer,розничный продавец,-1
customs,money collected under a tariff,ship money,корабельные деньги,-1
saint's day,a day commemorating a saint,name day,name-day,-1
honoring,conformity with law or custom or practice etc.,punctilio,punctilio,-1
box turtle,chiefly terrestrial turtle of North America; shell can be closed tightly,Western box turtle,Черепаха вестерн бокс,-1
animal virus,-,retrovirus,ОНКОВИРУСЫ,-1
conductance unit,a measure of a material's ability to conduct an electrical charge,mho,мксим,-1
buck,mature male of various mammals (especially deer or antelope),stag,"покупатель, обращающийся в ряд банков за дефицитным выпуском ценных бумаг (спекулянт)",-1
blazing star,any of various North American plants of the genus Liatris having racemes or panicles of small discoid flower heads,"dense blazing star,dotted gayfeather","плотная пылающая звезда,пунктирное гей-перо",-1
claret,dry red Bordeaux or Bordeaux-like wine,Saint Emilion,Сент-Эмильон,-1
ledge,a projecting ridge on a mountain or submerged under water,berm,берма,-1
emptying,the act of removing the contents of something,drain,слив,-1
confirmation,information that confirms or verifies,documentation,документация,-1
lab,a workplace for the conduct of scientific research,"biology lab,chemistry lab","биологическая лаборатория,химическая лаборатория",-1
leadership,the ability to lead,generalship,generalship,-1
hominid,-,homo,лицо,-1
claimant,someone who claims a benefit or right or title,Pretender,Претендент,-1
interpretation,a mental representation of the meaning or significance of something,"anagoge,reinterpretation","анагоге,переосмысление",-1
bile acid,any of the steroid acids generated in the liver and stored with bile,cholic acid,KHOLEVAIA KISLOTA,-1
bomber,a military aircraft that drops bombs during flight,"dive bomber,stealth bomber","пикирующий бомбардировщик,бомбардировщик-невидимка",-1
versicle,a short verse said or sung by a priest or minister in public worship and followed by a response from the congregation,sursum corda,sursum corda,-1
parametric statistic,-,correlation coefficient,коэффициент корреляции,-1
Jew,a person belonging to the worldwide group claiming descent from Jacob (or converted to it) and connected by cultural or religious ties,"Ashkenazi,Conservative Jew,Essene,kike,Jewess,Levite,Pharisee,Reform Jew,Sadducee,Sephardi,Wandering Jew,Zealot,Zionist","Ашкеназы,консервативные евреи,ессеи,жиды, евреи,левиты,фарисеи,евреи-реформаторы,саддукеи,сефарды, бродячие евреи,зелоты,сионисты",-1
cook,-,roaster,обжарочный ащщарат,-1
emptying,the act of removing the contents of something,drain,слив,-1
rejoinder,a quick reply to a question or remark (especially a witty or critical one),sass,Sass,-1
attribution,assigning some quality or character to a person or thing,zoomorphism,зооморфизм,-1
representative,-,union representative,представителей профсоюза.,-1
waterfront,the area of a city (such as a harbor or dockyard) alongside a body of water,dockyard,верфь,-1
profusion,the property of being extremely abundant,"greenness,overgrowth,wilderness","зелень,разрастание,пустыня",-1
irony,incongruity between what might be expected and what actually occurs,Socratic irony,Сократовская ирония,-1
Protestant,-,Methodist,Методизм,-1
edge,the boundary of a surface,"brink,limb","края,конечности",-1
hair,filamentous hairlike growth on a plant,stinging hair,жгучие волосы,-1
continental glacier,a glacier that spreads out from a central mass of ice,polar glacier,полярный ледник,-1
landowner,-,landlord,арендодатель,-1
terminology,-,markup language,Язык разметки,-1
sorter,a machine for sorting things (such as punched cards or letters) into classes,mailsorter,mailsorter,-1
poet,a writer of poems (the term is usually reserved for writers of good poetry),"bard,elegist,odist,poet laureate,poet laureate,poetess,sonneteer","бард,элегист, одист,поэт-лауреат, поэт-лауреат,поэтесса,сонетир",-1
calcium,a white metallic element that burns with a brilliant light; the fifth most abundant element in the earth's crust; an important component of most plants and animals,calcium ion,Кальций,-1
membership card,a card certifying membership in an organization,union card,профсоюзная карта,-1
ballroom dancing,-,one-step,Один шаг,-1
niggard,a selfish person who is unwilling to give or spend,pinchgut,pinchgut,-1
indignation,a feeling of righteous anger,dudgeon,dudgeon,-1
matter,a vaguely specified concern,least,наименьший,-1
band,a thin flat strip of flexible material that is worn around the body or one of the limbs (especially to decorate the body),"armlet,armband,backband,bellyband,watchband,rubber band,garter,headstall,weed,strap,sweatband,sweatband,wristlet,wristband","браслет,повязка, повязка, повязка на живот,ремешок для часов, резиновая повязка,подвязка, наголовник, сорняк, ремешок,повязка,повязка, браслет,браслет",-1
spider orchid,any of several European orchids of the genus Ophrys,early spider orchid,ранняя орхидея пауков,-1
die,a device used for shaping metal,stamp,ярлык,-1
bulbous plant,-,star-of-Bethlehem,PTITSEMLECHNIK,-1
scent,an odor left in passing by which a person or animal can be traced,musk,Мускус,-1
sweetness,the property of tasting as if it contains sugar,saccharinity,сахаристость,-1
secret agent,-,spy,Балбастинг,-1
bisexual,a person who is sexually attracted to both sexes,hermaphrodite,Гермафродит,-1
synovial joint,-,hinge joint,соединительное звено ,-1
educational program,-,training program,программа обучения,-1
libidinal energy,(psychoanalysis) psychic energy produced by the libido,acathexis,акатексис,-1
absconder,a fugitive who runs away and hides to avoid arrest or prosecution,alien absconder,чужой absconder,-1
defense mechanism,-,displacement,&amp;,-1
dry-wood termite,any of various termites that live in and feed on dry wood that is not connected with the soil,powder-post termite,порошково-постовый термитный,-1
noun,"a content word that can be used to refer to a person, place, thing, quality, or action","collective noun,count noun,generic noun,mass noun,proper noun","собирательное существительное, счетноесуществительное,родовое существительное,массовое существительное,собственное существительное",-1
denatured alcohol,ethyl alcohol that is unfit for drinking but is still useful for other purposes,methylated spirit,спирт этиловый метилированный,-1
customs,money collected under a tariff,ship money,корабельные деньги,-1
seed stock,a supply of seeds (or tubers) reserved for planting,seed corn,seed-corn,-1
symbiosis,the relation between two different species of organisms that are interdependent; each gains benefits from the other,trophobiosis,трофобиоз,-1
inertia,(physics) the tendency of a body to maintain its state of rest or uniform motion unless acted upon by an external force,moment of inertia,момент инерции,-1
ASCII text file,a text file that contains only ASCII characters without special formatting,source code,исходный код,-1
lattice,an arrangement of points or particles or objects in a regular periodic pattern in 2 or 3 dimensions,space lattice,пространственная решетка,-1
chaos,a state of extreme confusion and disorder,balagan,балаган,-1
tormentor,-,pest,CHUMA,-1
saint's day,a day commemorating a saint,name day,name-day,-1
calyculus,a small cup-shaped structure (as a taste bud or optic cup or cavity of a coral containing a polyp),optic cup,оптическая чашка,-1
silverware,tableware made of silver or silver plate or pewter or stainless steel,"flatware,hollowware","столовые приборы, полые приборы",-1
liqueur,-,orange liqueur,и апельсиновый ликер,-1
version,an interpretation of a matter from a particular viewpoint,approximation,приближение,-1
support column,a column that supports a heavy weight,lally,lally,-1
passageway,-,tunnel,тоннель,-1
superficiality,lack of depth of knowledge or thought or feeling,glibness,гладкость,-1
basidiomycete,any of various fungi of the subdivision Basidiomycota,gill fungus,жаберный гриб,-1
amnesia,-,selective amnesia,селективная амнезия,-1
fang,an appendage of insects that is capable of injecting venom; usually evolved from the legs,toxicognath,toxicognath,-1
malnutrition,-,avitaminosis,AVITAMINOZY,-1
supporting tower,a tower that serves to support something,trestle,ощора трубощровода,-1
caladium,any plant of the genus Caladium cultivated for their ornamental foliage variously patterned in white or pink or red,Caladium bicolor,Caladium bicolor,-1
squeeze,the act of gripping and pressing firmly,expression,выражение,-1
friend,-,confidant,задушевный друг:,-1
circuit board,a printed circuit that can be inserted into expansion slots in a computer to increase the computer's capabilities,"CPU board,PC board","Плата ЦП, плата ПК",-1
"gonadotropin,lactogen",hormone secreted by the anterior pituitary gland and placenta; stimulates the gonads and controls reproductive activity,prolactin,Пролактин,-1
goat,-,wild goat,дикая коза,-1
basket,a container that is usually woven and has handles,"breadbasket,bushel basket,creel,frail,punnet,shopping basket,skep","хлебная корзина, корзина из бушеля,крил,хрупкий,пуннет, корзина для покупок,скип",-1
colonnade,structure consisting of a row of evenly spaced columns,peristyle,Перистиль,-1
sanctuary,a consecrated place where sacred objects are kept,"holy of holies,Tabernacle","святая святых,Скиния",-1
reader,a person who enjoys reading,bookworm,Библиофильство,-1
fire,the event of something burning (often destructive),"backfire,bonfire,brush fire,campfire,grassfire,smoulder,smudge","обратный огонь,костер,кустарниковый огонь,костер,травяной огонь, тлеющий,пятно",-1
freeze,the withdrawal of heat to change something from a liquid to a solid,freeze-drying,Лиофилизация,-1
body waste,-,fecal matter,EKSKREMENTY,-1
helpfulness,the property of providing useful assistance,avail,польза; выгода,-1
workbasket,container for holding implements and materials for work (especially for sewing),sewing basket,швейная корзина,-1
quetzal,large trogon of Central America and South America having golden-green and scarlet plumage,resplendent quetzel,блистательный кетцель,-1
coagulation factor,any of the factors in the blood whose actions are essential for blood coagulation,"proaccelerin,antihemophilic factor,calcium ion,Christmas factor,proconvertin,fibrinogen,prothrombin,thromboplastin,prothrombinase,plasma thromboplastin antecedent,Hageman factor,fibrinase","проакселерин,антигемофильный фактор, ион кальция, фактор Рождества,проконвертин,фибриноген,протромбин,тромбопластин, протромбиназа, предшественник тромбопластина в плазме, фактор Хагемана,фибриназа",-1
favor,an act of gracious kindness,turn,повернуть,-1
Old World vulture,any of several large vultures of Africa and Eurasia,"black vulture,bearded vulture,Egyptian vulture,griffon vulture","черный стервятник,бородатый стервятник,египетский стервятник, стервятник-грифон",-1
"evidence,footprint",an indication that makes something evident,footprint evidence,доказательство отпечатка ноги,-1
sunflower,any plant of the genus Helianthus having large flower heads with dark disk florets and showy yellow rays,"common sunflower,giant sunflower,Jerusalem artichoke,swamp sunflower,showy sunflower,Maximilian's sunflower,prairie sunflower","подсолнечник обыкновенный,гигантский подсолнечник,топинамбур,болотный подсолнечник,эффектный подсолнечник, подсолнух Максимилиана, подсолнух прерий",-1
hernia,-,diverticulum,DIVERTIKUL,-1
essay,an analytic or interpretive literary composition,"disquisition,memoir,thanatopsis","дисквизиция,мемуары,танатопсис",-1
polyhedron,-,prismatoid,Призматоид,-1
credit,recognition by a college or university that a course of studies has been successfully completed; typically measured in semester hours,semester hour,за семестр,-1
"assistant,male child",a person who contributes to the fulfillment of a need or furtherance of an effort or purpose,bat boy,мальчик летучая мышь,-1
energy,forceful exertion,athleticism,атлетизм,-1
hearing,a session (of a committee or grand jury) in which witnesses are called and testimony is taken,confirmation hearing,Слушание по утверждению.,-1
hydroxybutyric acid,hydroxy derivative of butyric acid,beta-hydroxybutyric acid,3-GIDROKSIBUTIRAT,-1
marmot,stocky coarse-furred burrowing rodent with a short bushy tail found throughout the northern hemisphere; hibernates in winter,"groundhog,hoary marmot,yellowbelly marmot","сурок,седой сурок,желтобрюхий сурок",-1
copper-base alloy,-,bronze,бронза,-1
raspberry,woody brambles bearing usually red but sometimes black or yellow fruits that separate from the receptacle when ripe and are rounder and smaller than blackberries,"cloudberry,black raspberry,flowering raspberry,salmonberry,wineberry,salmonberry","морошка, малина черная, малина цветущая, лосось,виноградина, лосось",-1
aviator,-,pilot,пилот,-1
sphecoid wasp,-,digger wasp,оса экскаватора,-1
eligibility,the quality or state of being eligible,insurability,страховаемость,-1
educator,-,teacher,учитель,-1
shirt,-,jersey,джерсейский скот,-1
polymorphism,(biology) the existence of two or more forms of individuals within the same animal species (independent of sex differences),dimorphism,Полиморфизм,-1
attribution,assigning some quality or character to a person or thing,zoomorphism,зооморфизм,-1
bit,piece of metal held in horse's mouth by reins and used to control the horse while riding,"bar bit,bridoon,curb,Pelham,snaffle","барное долото,бридун,бордюр,пелхэм,снаффл",-1
dyskinesia,abnormality in performing voluntary muscle movements,tardive dyskinesia,Поздняя дискинезия,-1
foreign policy,-,trade policy,Торговая политика,-1
carnivorous bat,-,vespertilian bat,веспертилийская летучая мышь,-1
vertebrate paleontology,the paleontology of vertebrates,paleoanthropology,палеоантропология,-1
geocentric parallax,the parallax of a celestial body using two points on the surface of the earth as the earth rotates,"horizontal parallax,solar parallax","горизонтальный параллакс,солнечный параллакс",-1
freshwater fish,-,whitefish,белуха,-1
sword,-,fencing sword,фехтовальный меч,-1
Sanskrit,-,Magadhan,Магадхан,-1
woodwork,work made of wood; especially moldings or stairways or furniture,"cabinetwork,joinery,millwork","кабинетная,столярная,мельничная",-1
nitta tree,any of several Old World tropical trees of the genus Parkia having heads of red or yellow flowers followed by pods usually containing edible seeds and pulp,Parkia javanica,Parkia javanica,-1
grade,a relative position or degree of value in a graded group,"A level,college level,General Certificate of Secondary Education","Уровень A, уровень колледжа, аттестат об общем среднем образовании",-1
record,anything (such as a document or a phonograph record or a photograph) providing permanent evidence of or information about past events,"stub,memorabilia,working papers","заглушка,памятные вещи,рабочие документы",-1
price,the amount of money needed to purchase something,"bid price,spot price,closing price,factory price,highway robbery,purchase price,support level,valuation","цена предложения,спотовая цена, цена закрытия,заводская цена, ограбление шоссе, цена покупки, уровень поддержки,оценка",-1
swimming,-,skin diving,дайвинг с кожей,-1
waiter,a person whose occupation is to serve at table (as in a restaurant),"carhop,sommelier","carhop,сомелье",-1
El Salvadoran monetary unit,monetary unit in El Salvador,colon,двоеточие,-1
layer,a relatively thin sheetlike expanse or region lying over or under another,"asthenosphere,cell wall,chromosphere,exosphere,lithosphere,hydrosphere,lower mantle,mantle,mesosphere,ozone layer,stratosphere,thermosphere,tropopause,troposphere,upper mantle","астеносфера,клеточная стенка,хромосфера,экзосфера,литосфера,гидросфера,нижняя мантия,мантия,мезосфера,озоновый слой,стратосфера,термосфера,тропопауза,тропосфера,верхняя мантия",-1
flight maneuver,-,roll,крен,-1
naval officer,an officer in the navy,naval commander,командующий военно-морским флотом,-1
cloth covering,-,leg,нога,-1
animal foot,-,paw,paw,-1
rail technology,the activity of designing and constructing and operating railroads,magnetic levitation,магнитная левитация,-1
sect,a subdivision of a larger religious group,"Abecedarian,Albigenses,Amish sect,brethren,Hare Krishna,Haredi,High Church,Jainism,Karaites,Kokka Shinto,Religious Society of Friends,Shaktism,Shakers,Shiah,Shivaism,Shuha Shinto,sisterhood,Sunni,Taoism,Vaishnavism,Waldenses,Zurvanism",,-1
organelle,-,mitochondrion,,-1
social anthropologist,an anthropologist who studies such cultural phenomena as kinship systems,ritualist,,-1
practicability,the quality of being usable,feasibility,,-1
dungeon,a dark cell (usually underground) where prisoners can be confined,oubliette,,-1
tender,a boat for communication between ship and shore,gig,,-1
explosive,-,low explosive,,-1
fritillary,any liliaceous plant of the genus Fritillaria having nodding variously colored flowers,"adobe lily,mission bells,brown bells,snake's head fritillary",,-1
trumpeter,large gregarious crane-like bird of the forests of South America having glossy black plumage and a loud prolonged cry; easily domesticated,Brazilian trumpeter,,-1
spermatophyte,-,gymnosperm,,-1
aeronautics,the theory and practice of navigation through air or space,avionics,,-1
supernaturalism,a belief in forces beyond ordinary human understanding,"exorcism,occultism",,-1
sago,powdery starch from certain sago palms; used in Asia as a food thickener and textile stiffener,pearl sago,,-1
face,the part of an animal corresponding to the human face,muzzle,,-1
head,the striking part of a tool,golf-club head,,-1
world power,a state powerful enough to influence events throughout the world,hegemon,,-1
franchise,a statutory right or privilege granted to a person or group by a government (especially the rights of citizenship and the right to vote),right to vote,,-1
invertebrate,-,worm,,-1
decay,an inferior state resulting from the process of decaying,rancidity,,-1
advice,-,recommendation,,-1
packrat,any of several bushy-tailed rodents of the genus Neotoma of western North America; hoards food and other objects,dusky-footed woodrat,,-1
pack animal,an animal (such as a mule or burro or horse) used to carry loads,packhorse,,-1
