parent,definition,children,translation,label,label1,label2,label3
Indian elephant,Asian elephant having smaller ears and tusks primarily in the male,white elephant,белый слон,1.0,,1.0,
gallinaceous bird,-,megapode,мегапод,1.0,,1.0,
unruliness,-,contrariness,контраргументность,0.0,,0.0,
handsaw,-,pruning saw,пила для обрезки,1.0,,1.0,
baked potato,potato that has been cooked by baking it in an oven,jacket potato,Картофель в мундире,1.0,,1.0,
skeletal structure,-,girdle,Пояс,1.0,,1.0,
cleaning,-,sterilization,стерилизация,0.0,,0.0,
assertion,-,denial,отказ,0.0,,0.0,
mural,a painting that is applied to a wall surface,fresco,Фреска,0.0,,0.0,
capture,the act of forcibly dispossessing an owner of property,"apprehension,conquest","задержание,завоевание",0.0,,0.0,
pardoner,a medieval cleric who raised money for the church by selling papal indulgences,absolver,absolver,1.0,,1.0,
representation,a presentation to the mind in the form of an idea or image,"abstractionism,antitype,blur,instantiation,phantasmagoria,psychosexuality,schema,stereotype","абстракционизм,антитип,размытие,инстанциация,фантасмагория,психосексуальность,схема,стереотип",1.0,,1.0,
carbohydrate,-,polysaccharide,GLIKANY,1.0,,1.0,
upper,piece of leather or synthetic material that forms the part of a shoe or boot above the sole that encases the foot,toe box,Лёгкая обувь,1.0,,1.0,
cosmetic,-,makeup,грим,0.0,,0.0,
approval,acceptance as satisfactory,appro,Около,0.0,,0.0,
chemical phenomenon,-,state of matter,Ð¢ÐµÐ¼Ð¿ÐµÑ_x0080_Ð°Ñ_x0082_Ñ_x0083_Ñ_x0080_Ð° Ð¿Ð»Ð°Ð²Ð»ÐµÐ½Ð¸Ñ_x008f_:% 1,1.0,,1.0,
Dravidian,a member of one of the aboriginal races of India (pushed south by Caucasians and now mixed with them),"Badaga,Kanarese,Gadaba,Gond,Kolam,Kota,Kui,Malto,Savara,Tamil,Telugu,Toda,Tulu","Бадага,Канарезе,Гадаба,Гонд,Колам,Кота,Куи,Мальто,Савара,Тамил,Телугу,Тода,Тулу",1.0,,1.0,
trumpeter,large gregarious crane-like bird of the forests of South America having glossy black plumage and a loud prolonged cry; easily domesticated,Brazilian trumpeter,Бразильский трубач,1.0,,1.0,
dissolution,the termination or disintegration of a relationship (between persons or nations),splitsville,сплитсвилл,0.0,,0.0,
shading,graded markings that indicate light or shaded areas in a drawing or painting,hatch,люк,1.0,,1.0,
restrainer,a person who directs and restrains,"nazi,subduer","нацист,покоритель",0.0,,0.0,
avalanche,a slide of large masses of snow and ice and mud down a mountain,lahar,Лахар,1.0,,1.0,
animal material,-,shell,фон,0.0,,0.0,
husk,outer membranous covering of some fruits or seeds,cornhusk,cornhusk,0.0,,0.0,
energy,forceful exertion,athleticism,атлетизм,1.0,,1.0,
irony,incongruity between what might be expected and what actually occurs,Socratic irony,Сократовская ирония,1.0,,1.0,
exocrine gland,-,vestibular gland,вестибулярная железа,1.0,,1.0,
face,the part of an animal corresponding to the human face,muzzle,жерло,0.0,,0.0,
"Indian monetary unit,Pakistani monetary unit",monetary unit in India,anna,anna,1.0,,1.0,
benign tumor,-,myoma,MIOMA,1.0,,1.0,
software,-,operating system,операционная система,1.0,,1.0,
spider orchid,any of several European orchids of the genus Ophrys,early spider orchid,ранняя орхидея пауков,1.0,,1.0,
dormer window,the window in a gabled extension built to accommodate a window,oxeye,бычий глаз,0.0,,0.0,
white magic,magic used only for good purposes,theurgy,theurgy,1.0,,1.0,
pubic hair,hair growing in the pubic area,minge,minge,0.0,,0.0,
"pubic hair,female genitalia",hair growing in the pubic area,minge,minge,0.0,,0.0,
tender,a boat for communication between ship and shore,gig,Кабриолет,1.0,,1.0,
case,a person requiring professional services,"welfare case,client,referral","дело о социальном обеспечении,клиент,направление",1.0,,1.0,
bean,any of various seeds or fruits that are beans or resemble beans,"algarroba,carob,broad bean","альгарроба,рожковое дерево,бобы",1.0,,1.0,
antibody,-,monoclonal antibody,Моноклональное антитело,1.0,,1.0,
mealybug,scalelike plant-eating insect coated with a powdery waxy secretion; destructive especially of fruit trees,"citrophilous mealybug,citrus mealybug,Comstock mealybug","цитрофильный мучнистый жук,цитрусовый мучнистый жук,мучнистый жук Комсток",1.0,,1.0,
vinifera,common European grape cultivated in many varieties; chief source of Old World wine and table grapes,"Cabernet Sauvignon grape,Chardonnay,Chenin blanc,malvasia,Merlot,Muscadet,muscat,Riesling,Sauvignon blanc,Sauvignon grape,Verdicchio,Zinfandel","Виноград «каберне-совиньон»,«шардоне»,«шенен-блан», «мальвазия»,«мерло»,«мускат»,«рислинг»,«совиньон-блан»,«совиньон»,«вердиккио»,«зинфандель»",1.0,,1.0,
representation,the act of representing; standing in for someone or some group and speaking with authority in their behalf,proportional representation,Пропорциональное представительство,1.0,,1.0,
gentian,-,fringed gentian,бахрома gentian,1.0,,1.0,
Moroccan monetary unit,monetary unit in Morocco,Moroccan dirham,Марокканский дирхам,1.0,,1.0,
Norwegian monetary unit,monetary unit in Norway,Norwegian krone,Норвежская крона,1.0,,1.0,
test,any standardized procedure for measuring sensitivity or memory or intelligence or aptitude or personality etc,sub-test,подтест,0.0,,0.0,
spiritual leader,-,rabbi,Раввин,1.0,,1.0,
exactness,the quality of being exact,"minuteness,preciseness,trueness","мелочность,точность,правдивость",0.0,,0.0,
penalty,(games) a handicap or disadvantage that is imposed on a competitor (or a team) for an infraction of the rules of the game,game misconduct,игровой проступок,1.0,,1.0,
person of color,-,Black,nigger,0.0,,0.0,
game equipment,-,net,нетто,0.0,,0.0,
perfidy,betrayal of a trust,insidiousness,коварство,0.0,,0.0,
common knowledge,anything generally known to everyone,ancient history,ISTORIIA ANTICHNAIA,0.0,,0.0,
flush,a sudden rapid flow (as of water),springtide,springtide,1.0,,1.0,
commissioned officer,-,staff officer,Штабные офицеры,0.0,,0.0,
noble metal,-,gold,золотой,0.0,,0.0,
dental appliance,-,filling,заправка,1.0,,1.0,
water plantain,marsh plant having clusters of small white or pinkish flowers and broad pointed or rounded leaves,"narrow-leaved water plantain,ribbon-leaved water plantain","подорожник водный узколистный,подорожник водный ленточнолистный",1.0,,1.0,
Mayan,a member of an American Indian people of Yucatan and Belize and Guatemala who had a culture (which reached its peak between AD 300 and 900) characterized by outstanding architecture and pottery and astronomy,"Cakchiquel,Kekchi,Mam,Quiche,Yucatec","Какчикель,кекчи,мам,киче,юкатек",1.0,,1.0,
conservative,-,rightist,правый,0.0,,0.0,
echinoderm,-,sea urchin,MORSKIE EZHI,1.0,,1.0,
convexity,the property possessed by a convex shape,roundedness,округлость,0.0,,0.0,
cross-fertilization,fertilization by the union of male and female gametes from different individual of the same species,allogamy,Перекрёстное опыление,1.0,,1.0,
dramatic composition,-,play,пьеса,0.0,,0.0,
female genitalia,external female sex organs,"cunt,minge,vulva","пизда,минге,вульва",0.0,,0.0,
"dehydration,freeze",the process of extracting moisture,freeze-drying,Лиофилизация,1.0,,1.0,
yellow,-,orange yellow,orange-yellow,0.0,,0.0,
dehydration,the process of extracting moisture,freeze-drying,Лиофилизация,1.0,,1.0,
mythical monster,a monster renowned in folklore and myth,"amphisbaena,basilisk,Cerberus,Chimera,cockatrice,Geryon,gryphon,Harpy,Hydra,leviathan,werewolf,manticore,Minotaur,Nemean lion,roc,salamander,Sphinx,troll,Typhoeus,Typhon","амфисбена,василиск,цербер,химера,какатрис,герион,грифон,гарпия,гидра,левиафан,оборотень,мантикора,минотавр,немейский лев,рок,саламандра,сфинкс,тролль,тиф,тифон",1.0,,1.0,
caterpillar,-,woolly bear,шерстистый медведь,1.0,,1.0,
"utility,transportation company",a company that performs a public service; subject to government regulation,bus company,автобусная компания,0.0,,0.0,
asexual reproduction,reproduction without the fusion of gametes,"blastogenesis,budding,fissiparity,pullulation,parthenogenesis","бластогенез,почкование,деления,пулуляция,партеногенез",1.0,,1.0,
skunk,American musteline mammal typically ejecting an intensely malodorous fluid when startled; in some classifications put in a separate subfamily Mephitinae,"hog-nosed skunk,hooded skunk,spotted skunk,striped skunk","кабаносый скунс, скунс с капюшоном,пятнистый скунс,полосатый скунс",1.0,,1.0,
vermouth,any of several white wines flavored with aromatic herbs; used as aperitifs or in mixed drinks,"dry vermouth,sweet vermouth","вермут сухой, вермут сладкий",1.0,,1.0,
clothes moth,any of several small yellowish or buff-colored moths whose larvae eat organic matter e.g. woolens,"casemaking clothes moth,webbing clothes moth","платяная моль для изготовления кейсов, платяная моль для лямок",1.0,,1.0,
shearing,removing by cutting off or clipping,sheepshearing,стрижка овец,0.0,,0.0,
blasphemer,a person who speaks disrespectfully of sacred things,swearer,swarer,0.0,,0.0,
merchant,-,retailer,розничный продавец,0.0,,0.0,
customs,money collected under a tariff,ship money,корабельные деньги,1.0,,1.0,
saint's day,a day commemorating a saint,name day,name-day,0.0,,0.0,
honoring,conformity with law or custom or practice etc.,punctilio,punctilio,0.0,,0.0,
box turtle,chiefly terrestrial turtle of North America; shell can be closed tightly,Western box turtle,Черепаха вестерн бокс,1.0,,1.0,
animal virus,-,retrovirus,ОНКОВИРУСЫ,1.0,,1.0,
conductance unit,a measure of a material's ability to conduct an electrical charge,mho,мксим,1.0,,1.0,
buck,mature male of various mammals (especially deer or antelope),stag,"покупатель, обращающийся в ряд банков за дефицитным выпуском ценных бумаг (спекулянт)",1.0,,1.0,
blazing star,any of various North American plants of the genus Liatris having racemes or panicles of small discoid flower heads,"dense blazing star,dotted gayfeather","плотная пылающая звезда,пунктирное гей-перо",1.0,,1.0,
claret,dry red Bordeaux or Bordeaux-like wine,Saint Emilion,Сент-Эмильон,1.0,,1.0,
ledge,a projecting ridge on a mountain or submerged under water,berm,берма,1.0,,1.0,
emptying,the act of removing the contents of something,drain,слив,0.0,,0.0,
confirmation,information that confirms or verifies,documentation,документация,0.0,,0.0,
lab,a workplace for the conduct of scientific research,"biology lab,chemistry lab","биологическая лаборатория,химическая лаборатория",0.0,,0.0,
leadership,the ability to lead,generalship,generalship,0.0,,0.0,
hominid,-,homo,лицо,1.0,,1.0,
claimant,someone who claims a benefit or right or title,Pretender,Претендент,0.0,,0.0,
interpretation,a mental representation of the meaning or significance of something,"anagoge,reinterpretation","анагоге,переосмысление",1.0,,1.0,
bile acid,any of the steroid acids generated in the liver and stored with bile,cholic acid,KHOLEVAIA KISLOTA,1.0,,1.0,
bomber,a military aircraft that drops bombs during flight,"dive bomber,stealth bomber","пикирующий бомбардировщик,бомбардировщик-невидимка",1.0,,1.0,
versicle,a short verse said or sung by a priest or minister in public worship and followed by a response from the congregation,sursum corda,sursum corda,1.0,,1.0,
parametric statistic,-,correlation coefficient,коэффициент корреляции,1.0,,1.0,
Jew,a person belonging to the worldwide group claiming descent from Jacob (or converted to it) and connected by cultural or religious ties,"Ashkenazi,Conservative Jew,Essene,kike,Jewess,Levite,Pharisee,Reform Jew,Sadducee,Sephardi,Wandering Jew,Zealot,Zionist","Ашкеназы,консервативные евреи,ессеи,жиды, евреи,левиты,фарисеи,евреи-реформаторы,саддукеи,сефарды, бродячие евреи,зелоты,сионисты",1.0,,1.0,
cook,-,roaster,обжарочный ащщарат,0.0,,0.0,
emptying,the act of removing the contents of something,drain,слив,0.0,,0.0,
rejoinder,a quick reply to a question or remark (especially a witty or critical one),sass,Sass,1.0,,1.0,
attribution,assigning some quality or character to a person or thing,zoomorphism,зооморфизм,1.0,,1.0,
representative,-,union representative,представителей профсоюза.,0.0,,0.0,
waterfront,the area of a city (such as a harbor or dockyard) alongside a body of water,dockyard,верфь,1.0,,1.0,
profusion,the property of being extremely abundant,"greenness,overgrowth,wilderness","зелень,разрастание,пустыня",0.0,,0.0,
irony,incongruity between what might be expected and what actually occurs,Socratic irony,Сократовская ирония,1.0,,1.0,
Protestant,-,Methodist,Методизм,1.0,,1.0,
edge,the boundary of a surface,"brink,limb","края,конечности",0.0,,0.0,
hair,filamentous hairlike growth on a plant,stinging hair,жгучие волосы,0.0,,0.0,
continental glacier,a glacier that spreads out from a central mass of ice,polar glacier,полярный ледник,1.0,,1.0,
landowner,-,landlord,арендодатель,0.0,,0.0,
terminology,-,markup language,Язык разметки,1.0,,1.0,
sorter,a machine for sorting things (such as punched cards or letters) into classes,mailsorter,mailsorter,0.0,,0.0,
poet,a writer of poems (the term is usually reserved for writers of good poetry),"bard,elegist,odist,poet laureate,poet laureate,poetess,sonneteer","бард,элегист, одист,поэт-лауреат, поэт-лауреат,поэтесса,сонетир",1.0,,1.0,
calcium,a white metallic element that burns with a brilliant light; the fifth most abundant element in the earth's crust; an important component of most plants and animals,calcium ion,Кальций,1.0,,1.0,
membership card,a card certifying membership in an organization,union card,профсоюзная карта,0.0,,0.0,
ballroom dancing,-,one-step,Один шаг,1.0,,1.0,
niggard,a selfish person who is unwilling to give or spend,pinchgut,pinchgut,1.0,,1.0,
indignation,a feeling of righteous anger,dudgeon,dudgeon,0.0,,0.0,
matter,a vaguely specified concern,least,наименьший,0.0,,0.0,
band,a thin flat strip of flexible material that is worn around the body or one of the limbs (especially to decorate the body),"armlet,armband,backband,bellyband,watchband,rubber band,garter,headstall,weed,strap,sweatband,sweatband,wristlet,wristband","браслет,повязка, повязка, повязка на живот,ремешок для часов, резиновая повязка,подвязка, наголовник, сорняк, ремешок,повязка,повязка, браслет,браслет",1.0,,1.0,
spider orchid,any of several European orchids of the genus Ophrys,early spider orchid,ранняя орхидея пауков,1.0,,1.0,
die,a device used for shaping metal,stamp,ярлык,1.0,,1.0,
bulbous plant,-,star-of-Bethlehem,PTITSEMLECHNIK,1.0,,1.0,
scent,an odor left in passing by which a person or animal can be traced,musk,Мускус,0.0,,0.0,
sweetness,the property of tasting as if it contains sugar,saccharinity,сахаристость,0.0,,0.0,
secret agent,-,spy,Балбастинг,0.0,,0.0,
bisexual,a person who is sexually attracted to both sexes,hermaphrodite,Гермафродит,0.0,,0.0,
synovial joint,-,hinge joint,соединительное звено ,1.0,,1.0,
educational program,-,training program,программа обучения,0.0,,0.0,
libidinal energy,(psychoanalysis) psychic energy produced by the libido,acathexis,акатексис,1.0,,1.0,
absconder,a fugitive who runs away and hides to avoid arrest or prosecution,alien absconder,чужой absconder,0.0,,0.0,
defense mechanism,-,displacement,&amp;,0.0,,0.0,
dry-wood termite,any of various termites that live in and feed on dry wood that is not connected with the soil,powder-post termite,порошково-постовый термитный,1.0,,1.0,
noun,"a content word that can be used to refer to a person, place, thing, quality, or action","collective noun,count noun,generic noun,mass noun,proper noun","собирательное существительное, счетноесуществительное,родовое существительное,массовое существительное,собственное существительное",1.0,,1.0,
denatured alcohol,ethyl alcohol that is unfit for drinking but is still useful for other purposes,methylated spirit,спирт этиловый метилированный,1.0,,1.0,
customs,money collected under a tariff,ship money,корабельные деньги,1.0,,1.0,
seed stock,a supply of seeds (or tubers) reserved for planting,seed corn,seed-corn,0.0,,0.0,
symbiosis,the relation between two different species of organisms that are interdependent; each gains benefits from the other,trophobiosis,трофобиоз,1.0,,1.0,
inertia,(physics) the tendency of a body to maintain its state of rest or uniform motion unless acted upon by an external force,moment of inertia,момент инерции,1.0,,1.0,
ASCII text file,a text file that contains only ASCII characters without special formatting,source code,исходный код,1.0,,1.0,
lattice,an arrangement of points or particles or objects in a regular periodic pattern in 2 or 3 dimensions,space lattice,пространственная решетка,1.0,,1.0,
chaos,a state of extreme confusion and disorder,balagan,балаган,0.0,,0.0,
tormentor,-,pest,CHUMA,0.0,,0.0,
saint's day,a day commemorating a saint,name day,name-day,0.0,,0.0,
calyculus,a small cup-shaped structure (as a taste bud or optic cup or cavity of a coral containing a polyp),optic cup,оптическая чашка,1.0,,1.0,
silverware,tableware made of silver or silver plate or pewter or stainless steel,"flatware,hollowware","столовые приборы, полые приборы",0.0,,0.0,
liqueur,-,orange liqueur,и апельсиновый ликер,1.0,,1.0,
version,an interpretation of a matter from a particular viewpoint,approximation,приближение,0.0,,0.0,
support column,a column that supports a heavy weight,lally,lally,1.0,,1.0,
passageway,-,tunnel,тоннель,0.0,,0.0,
superficiality,lack of depth of knowledge or thought or feeling,glibness,гладкость,0.0,,0.0,
basidiomycete,any of various fungi of the subdivision Basidiomycota,gill fungus,жаберный гриб,1.0,,1.0,
amnesia,-,selective amnesia,селективная амнезия,1.0,,1.0,
fang,an appendage of insects that is capable of injecting venom; usually evolved from the legs,toxicognath,toxicognath,1.0,,1.0,
malnutrition,-,avitaminosis,AVITAMINOZY,0.0,,0.0,
supporting tower,a tower that serves to support something,trestle,ощора трубощровода,0.0,,0.0,
caladium,any plant of the genus Caladium cultivated for their ornamental foliage variously patterned in white or pink or red,Caladium bicolor,Caladium bicolor,1.0,,1.0,
squeeze,the act of gripping and pressing firmly,expression,выражение,0.0,,0.0,
friend,-,confidant,задушевный друг:,0.0,,0.0,
circuit board,a printed circuit that can be inserted into expansion slots in a computer to increase the computer's capabilities,"CPU board,PC board","Плата ЦП, плата ПК",1.0,,1.0,
"gonadotropin,lactogen",hormone secreted by the anterior pituitary gland and placenta; stimulates the gonads and controls reproductive activity,prolactin,Пролактин,1.0,,1.0,
goat,-,wild goat,дикая коза,1.0,,1.0,
basket,a container that is usually woven and has handles,"breadbasket,bushel basket,creel,frail,punnet,shopping basket,skep","хлебная корзина, корзина из бушеля,крил,хрупкий,пуннет, корзина для покупок,скип",1.0,,1.0,
colonnade,structure consisting of a row of evenly spaced columns,peristyle,Перистиль,1.0,,1.0,
sanctuary,a consecrated place where sacred objects are kept,"holy of holies,Tabernacle","святая святых,Скиния",1.0,,1.0,
reader,a person who enjoys reading,bookworm,Библиофильство,1.0,,1.0,
fire,the event of something burning (often destructive),"backfire,bonfire,brush fire,campfire,grassfire,smoulder,smudge","обратный огонь,костер,кустарниковый огонь,костер,травяной огонь, тлеющий,пятно",1.0,,1.0,
freeze,the withdrawal of heat to change something from a liquid to a solid,freeze-drying,Лиофилизация,1.0,,1.0,
body waste,-,fecal matter,EKSKREMENTY,0.0,,0.0,
helpfulness,the property of providing useful assistance,avail,польза; выгода,0.0,,0.0,
workbasket,container for holding implements and materials for work (especially for sewing),sewing basket,швейная корзина,0.0,,0.0,
quetzal,large trogon of Central America and South America having golden-green and scarlet plumage,resplendent quetzel,блистательный кетцель,1.0,,1.0,
coagulation factor,any of the factors in the blood whose actions are essential for blood coagulation,"proaccelerin,antihemophilic factor,calcium ion,Christmas factor,proconvertin,fibrinogen,prothrombin,thromboplastin,prothrombinase,plasma thromboplastin antecedent,Hageman factor,fibrinase","проакселерин,антигемофильный фактор, ион кальция, фактор Рождества,проконвертин,фибриноген,протромбин,тромбопластин, протромбиназа, предшественник тромбопластина в плазме, фактор Хагемана,фибриназа",1.0,,1.0,
favor,an act of gracious kindness,turn,повернуть,0.0,,0.0,
Old World vulture,any of several large vultures of Africa and Eurasia,"black vulture,bearded vulture,Egyptian vulture,griffon vulture","черный стервятник,бородатый стервятник,египетский стервятник, стервятник-грифон",1.0,,1.0,
"evidence,footprint",an indication that makes something evident,footprint evidence,доказательство отпечатка ноги,0.0,,0.0,
sunflower,any plant of the genus Helianthus having large flower heads with dark disk florets and showy yellow rays,"common sunflower,giant sunflower,Jerusalem artichoke,swamp sunflower,showy sunflower,Maximilian's sunflower,prairie sunflower","подсолнечник обыкновенный,гигантский подсолнечник,топинамбур,болотный подсолнечник,эффектный подсолнечник, подсолнух Максимилиана, подсолнух прерий",1.0,,1.0,
hernia,-,diverticulum,DIVERTIKUL,1.0,,1.0,
essay,an analytic or interpretive literary composition,"disquisition,memoir,thanatopsis","дисквизиция,мемуары,танатопсис",1.0,,1.0,
polyhedron,-,prismatoid,Призматоид,1.0,,1.0,
credit,recognition by a college or university that a course of studies has been successfully completed; typically measured in semester hours,semester hour,за семестр,0.0,,0.0,
"assistant,male child",a person who contributes to the fulfillment of a need or furtherance of an effort or purpose,bat boy,мальчик летучая мышь,1.0,,1.0,
energy,forceful exertion,athleticism,атлетизм,1.0,,1.0,
hearing,a session (of a committee or grand jury) in which witnesses are called and testimony is taken,confirmation hearing,Слушание по утверждению.,1.0,,1.0,
hydroxybutyric acid,hydroxy derivative of butyric acid,beta-hydroxybutyric acid,3-GIDROKSIBUTIRAT,1.0,,1.0,
marmot,stocky coarse-furred burrowing rodent with a short bushy tail found throughout the northern hemisphere; hibernates in winter,"groundhog,hoary marmot,yellowbelly marmot","сурок,седой сурок,желтобрюхий сурок",1.0,,1.0,
copper-base alloy,-,bronze,бронза,0.0,,0.0,
raspberry,woody brambles bearing usually red but sometimes black or yellow fruits that separate from the receptacle when ripe and are rounder and smaller than blackberries,"cloudberry,black raspberry,flowering raspberry,salmonberry,wineberry,salmonberry","морошка, малина черная, малина цветущая, лосось,виноградина, лосось",1.0,,1.0,
aviator,-,pilot,пилот,0.0,,0.0,
sphecoid wasp,-,digger wasp,оса экскаватора,1.0,,1.0,
eligibility,the quality or state of being eligible,insurability,страховаемость,0.0,,0.0,
educator,-,teacher,учитель,0.0,,0.0,
shirt,-,jersey,джерсейский скот,0.0,,0.0,
polymorphism,(biology) the existence of two or more forms of individuals within the same animal species (independent of sex differences),dimorphism,Полиморфизм,1.0,,1.0,
attribution,assigning some quality or character to a person or thing,zoomorphism,зооморфизм,1.0,,1.0,
bit,piece of metal held in horse's mouth by reins and used to control the horse while riding,"bar bit,bridoon,curb,Pelham,snaffle","барное долото,бридун,бордюр,пелхэм,снаффл",1.0,,1.0,
dyskinesia,abnormality in performing voluntary muscle movements,tardive dyskinesia,Поздняя дискинезия,1.0,,1.0,
